,province,city,district,county,street,community,show_address,cnt_inc_uncertain,cnt_inc_certain,cnt_inc_die,cnt_inc_recure,cnt_sum_uncertain,cnt_sum_certain,cnt_sum_die,cnt_sum_recure,full_address,lng,lat,source,distance
0,云南省,昆明市,东川区,,,黄包谷地,黄包谷地,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市东川区乌龙镇瓦房村黄包谷地,103.079323,25.975559,"[{'name': '掌上春城', 'url': ''}]",-1
1,云南省,昆明市,五华区,,,春晖小区,春晖小区,-1,-1,-1,-1,-1,2,-1,-1,云南省昆明市五华区春晖小区,102.679253,25.051399,"[{'name': '掌上春城', 'url': ''}]",-1
2,云南省,昆明市,五华区,,,耀龙康城,耀龙康城,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市五华区耀龙康城,102.730247,25.098301,"[{'name': '掌上春城', 'url': ''}]",-1
3,云南省,昆明市,五华区,,,新闻里小区,新闻里小区,-1,-1,-1,-1,-1,2,-1,-1,云南省昆明市五华区新闻里小区,102.692291,25.034473,"[{'name': '掌上春城', 'url': ''}]",-1
4,云南省,昆明市,五华区,,,西景盛典小区,西景盛典小区,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市五华区西景盛典小区,102.70737,25.04347,"[{'name': '掌上春城', 'url': ''}]",-1
5,云南省,昆明市,五华区,,丰宁街道,,丰宁街道,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市五华区丰宁街道,102.684097,25.053711,"[{'name': '掌上春城', 'url': ''}]",-1
6,云南省,昆明市,官渡区,,,星体花园,星体花园,-1,-1,-1,-1,-1,2,-1,-1,云南省昆明市官渡区星体花园,102.762154,24.940334,"[{'name': '掌上春城', 'url': ''}]",-1
7,云南省,昆明市,官渡区,,小板桥街道,海伦国际小区,海伦国际小区,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市官渡区小板桥街道海伦国际小区,102.745262,24.9666,"[{'name': '掌上春城', 'url': ''}]",-1
8,云南省,昆明市,盘龙区,,,云锡花园,云锡花园,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市盘龙区云锡花园,102.736549,25.071529,"[{'name': '掌上春城', 'url': ''}]",-1
9,云南省,昆明市,盘龙区,,,,金殿武家村,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市盘龙区金殿武家村,102.75205,25.11624,"[{'name': '掌上春城', 'url': ''}]",-1
10,云南省,昆明市,西山区,,,绿地大城天地商业区,绿地大城天地商业区,-1,-1,-1,-1,-1,2,-1,-1,云南省昆明市西山区绿地大城天地商业区,102.702164,25.013317,"[{'name': '掌上春城', 'url': ''}]",-1
11,云南省,玉溪市,红塔区,,北城街道,大石板社区秧草塘村,大石板社区秧草塘村,-1,-1,-1,-1,-1,2,-1,-1,云南省玉溪市红塔区北城街道大石板社区秧草塘村,102.51207,24.46442,"[{'name': '玉溪发布', 'url': ''}]",-1
12,云南省,玉溪市,红塔区,,红塔大道50号,华瑞小区,华瑞小区,-1,-1,-1,-1,-1,4,-1,-1,云南省玉溪市红塔区红塔大道50号华瑞小区,102.5463,24.34077,"[{'name': '玉溪发布', 'url': ''}]",-1
13,云南省,保山市,腾冲市,腾冲市,,,镇安镇,-1,-1,-1,-1,-1,1,-1,-1,云南省保山市腾冲市镇安镇,98.49097,25.02053,[],-1
14,云南省,西双版纳州,景洪市,,,景洪农场三分场,景洪农场三分场,-1,-1,-1,-1,-1,1,-1,-1,云南省西双版纳州景洪市 景洪农场三分场,100.753408,21.985604,[],-1
15,云南省,西双版纳州,景洪市,,曼伞囡村,,曼伞囡村,-1,-1,-1,-1,-1,1,-1,-1,云南省西双版纳州景洪市曼哈乡曼伞囡村,101.047478,21.759501,[],-1
16,云南省,德宏傣族景颇族自治州,瑞丽市,,,五缘玉城小区,五缘玉城小区,-1,-1,-1,-1,-1,1,-1,-1,云南省德宏傣族景颇族自治州瑞丽市五缘玉城小区,97.84623,24.024139,[],-1
17,吉林省,吉林市,丰满区,,,中海紫御江城,中海紫御江城,-1,-1,-1,-1,-1,1,-1,-1,吉林省吉林市丰满区中海紫御江城,126.567146,43.83226,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
18,吉林省,吉林市,昌邑区,,,吉炭小区,吉炭小区,-1,-1,-1,-1,-1,1,-1,-1,吉林省吉林市昌邑区吉炭小区,126.581863,43.87487,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
19,吉林省,长春市,净月区,,,万科城,万科城,-1,-1,-1,-1,-1,3,-1,-1,吉林省长春市净月区万科城,125.386841,43.799,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
20,吉林省,长春市,净月区,,博学路,东城国际花园小区,东城国际花园小区,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市净月区博学路东城国际花园小区,125.414871,43.819729,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
21,吉林省,长春市,净月区,,净月街道,财苑家园,财苑家园,-1,-1,-1,-1,-1,2,-1,-1,吉林省长春市净月区净月街道财苑家园,125.446503,43.82782,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
22,吉林省,长春市,朝阳区,,,崇智路694号,崇智路694号,-1,-1,-1,-1,-1,5,-1,-1,吉林省长春市朝阳区崇智路694号,125.31404,43.89262,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
23,吉林省,长春市,绿园区,,,西城国际公馆,西城国际公馆,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市绿园区西城国际公馆,125.268951,43.898201,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
24,吉林省,长春市,高新区,,,中海兰庭小区,中海兰庭小区,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市高新区中海兰庭小区,125.259201,43.783199,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
25,吉林省,长春市,高新区,,,北湾新城,北湾新城,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市高新区北湾新城,125.391365,43.969044,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
26,吉林省,长春市,高新区,,,恒大绿洲,恒大绿洲,-1,-1,-1,-1,-1,4,-1,-1,吉林省长春市高新区恒大绿洲,125.259071,43.774448,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
27,吉林省,长春市,高新区,,,飞跃经典小区,飞跃经典小区,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市高新区飞跃经典小区,125.241211,43.832779,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
28,吉林省,长春市,九台区,,,龙凤二期,龙凤二期,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市九台区龙凤二期,125.686569,44.224972,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
29,吉林省,长春市,九台区,,工商一条街,铁路家属楼,铁路家属楼,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市九台区工商一条街铁路家属楼,125.83828,44.150131,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
30,吉林省,长春市,二道区,,,力旺康城小区,力旺康城小区,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市二道区力旺康城小区,125.370705,43.945663,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
31,吉林省,长春市,宽城区,,,北十条荣旺天下,北十条荣旺天下,-1,-1,-1,-1,-1,1,-1,-1,吉林省长春市宽城区北十条荣旺天下,125.35038,43.917198,"[{'name': '吉林省卫生健康委员会', 'url': ''}]",-1
32,天津市,天津市,宁河区,,,,王北村,-1,-1,-1,-1,-1,1,-1,-1,天津市宁河区芦台镇王北村,117.771988,39.358971,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
33,天津市,天津市,宁河区,,,运河家园,运河家园,-1,-1,-1,-1,-1,2,-1,-1,天津市宁河区芦台镇运河家园,117.802422,39.351799,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
34,天津市,天津市,宝坻区,,宝平街道,华苑东区,华苑东区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区宝平街道华苑东区,117.30587,39.709171,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
35,天津市,天津市,宝坻区,,宝平街道,宝平景苑东区,宝平景苑东区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区宝平街道宝平景苑东区,117.295311,39.70789,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
36,天津市,天津市,宝坻区,,宝平街道,宝平景苑西区,宝平景苑西区,-1,-1,-1,-1,-1,1,-1,-1,天津市宝坻区宝平街道宝平景苑西区,117.29137,39.70902,"[{'name': '天津市卫生健康委员会', 'url': ''}]",-1
