Country,Province,City,AllOrToday,confirm,suspect,dead,heal
中国,,,All,37298,28942,814,2913
中国,,,Today,100,0,0,0
中国,湖北,,All,27100,0,780,1506
中国,湖北,武汉,All,14982,0,608,877
中国,湖北,孝感,All,2436,0,29,50
中国,湖北,黄冈,All,2141,0,43,148
中国,湖北,荆州,All,997,0,13,40
中国,湖北,襄阳,All,988,0,7,40
中国,湖北,随州,All,984,0,9,23
中国,湖北,黄石,All,760,0,2,61
中国,湖北,宜昌,All,711,0,8,36
中国,湖北,荆门,All,663,0,19,51
中国,湖北,鄂州,All,639,0,21,43
中国,湖北,咸宁,All,493,0,4,37
中国,湖北,十堰,All,467,0,0,40
中国,湖北,仙桃,All,379,0,5,16
中国,湖北,天门,All,197,0,10,10
中国,湖北,恩施州,All,171,0,0,23
中国,湖北,潜江,All,82,0,2,2
中国,湖北,神农架,All,10,0,0,6
中国,湖北,地区待确认,All,0,0,0,3
中国,广东,,All,1131,0,1,136
中国,广东,深圳,All,366,0,0,46
中国,广东,广州,All,307,0,0,36
中国,广东,珠海,All,83,0,0,4
中国,广东,佛山,All,67,0,0,4
中国,广东,东莞,All,58,0,0,3
中国,广东,中山,All,51,0,0,14
中国,广东,惠州,All,48,0,0,1
中国,广东,汕头,All,25,0,0,5
中国,广东,湛江,All,21,0,0,6
中国,广东,江门,All,19,0,0,1
中国,广东,肇庆,All,14,0,1,3
中国,广东,阳江,All,13,0,0,1
中国,广东,梅州,All,13,0,0,4
中国,广东,茂名,All,10,0,0,1
中国,广东,清远,All,10,0,0,3
中国,广东,揭阳,All,7,0,0,1
中国,广东,韶关,All,6,0,0,2
中国,广东,潮州,All,5,0,0,0
中国,广东,汕尾,All,5,0,0,1
中国,广东,河源,All,3,0,0,0
中国,浙江,,All,1075,0,0,199
中国,浙江,温州,All,448,0,0,78
中国,浙江,杭州,All,165,0,0,41
中国,浙江,宁波,All,146,0,0,13
中国,浙江,台州,All,138,0,0,27
中国,浙江,金华,All,53,0,0,15
中国,浙江,绍兴,All,38,0,0,8
中国,浙江,嘉兴,All,38,0,0,3
中国,浙江,丽水,All,17,0,0,5
中国,浙江,衢州,All,15,0,0,3
中国,浙江,湖州,All,10,0,0,1
中国,浙江,舟山,All,7,0,0,5
中国,河南,,All,1033,0,6,151
中国,河南,信阳,All,205,0,0,24
中国,河南,南阳,All,133,0,2,23
中国,河南,郑州,All,126,0,0,33
中国,河南,驻马店,All,116,0,0,14
中国,河南,商丘,All,82,0,0,9
中国,河南,周口,All,62,0,0,11
中国,河南,平顶山,All,50,0,1,12
中国,河南,新乡,All,44,0,1,6
中国,河南,安阳,All,44,0,0,3
中国,河南,许昌,All,31,0,0,2
中国,河南,漯河,All,30,0,0,5
中国,河南,洛阳,All,25,0,0,2
中国,河南,焦作,All,24,0,1,1
中国,河南,开封,All,24,0,0,1
中国,河南,鹤壁,All,17,0,0,0
中国,河南,濮阳,All,9,0,0,0
中国,河南,三门峡,All,7,0,0,3
中国,河南,济源示范区,All,4,0,0,0
中国,河南,地区待确认,All,0,0,1,2
中国,湖南,,All,838,0,1,184
中国,湖南,长沙,All,205,0,0,33
中国,湖南,岳阳,All,115,0,1,17
中国,湖南,邵阳,All,87,0,0,21
中国,湖南,常德,All,66,0,0,15
中国,湖南,娄底,All,64,0,0,8
中国,湖南,株洲,All,58,0,0,9
中国,湖南,益阳,All,46,0,0,15
中国,湖南,衡阳,All,45,0,0,14
中国,湖南,永州,All,40,0,0,13
中国,湖南,怀化,All,39,0,0,15
中国,湖南,郴州,All,32,0,0,8
中国,湖南,湘潭,All,28,0,0,10
中国,湖南,湘西自治州,All,8,0,0,4
中国,湖南,张家界,All,5,0,0,2
中国,安徽,,All,779,0,1,72
中国,安徽,合肥,All,136,0,0,11
中国,安徽,阜阳,All,118,0,0,13
中国,安徽,蚌埠,All,115,0,1,1
中国,安徽,亳州,All,87,0,0,5
中国,安徽,安庆,All,75,0,0,12
中国,安徽,六安,All,54,0,0,2
中国,安徽,马鞍山,All,31,0,0,2
中国,安徽,芜湖,All,29,0,0,3
中国,安徽,宿州,All,28,0,0,2
中国,安徽,铜陵,All,24,0,0,7
中国,安徽,淮北,All,23,0,0,4
中国,安徽,淮南,All,22,0,0,4
中国,安徽,池州,All,12,0,0,1
中国,安徽,滁州,All,11,0,0,2
中国,安徽,黄山,All,9,0,0,1
中国,安徽,宣城,All,5,0,0,2
中国,江西,,All,740,0,0,72
中国,江西,南昌,All,179,0,0,27
中国,江西,新余,All,100,0,0,13
中国,江西,九江,All,100,0,0,6
中国,江西,上饶,All,98,0,0,7
中国,江西,宜春,All,74,0,0,6
中国,江西,赣州,All,69,0,0,2
中国,江西,抚州,All,63,0,0,7
中国,江西,萍乡,All,24,0,0,1
中国,江西,吉安,All,17,0,0,1
中国,江西,鹰潭,All,11,0,0,1
中国,江西,景德镇,All,5,0,0,1
中国,江苏,,All,468,0,0,72
中国,江苏,苏州,All,75,0,0,11
中国,江苏,南京,All,71,0,0,22
中国,江苏,徐州,All,56,0,0,8
中国,江苏,淮安,All,44,0,0,5
中国,江苏,无锡,All,38,0,0,4
中国,江苏,连云港,All,32,0,0,4
中国,江苏,南通,All,32,0,0,2
中国,江苏,常州,All,31,0,0,6
中国,江苏,泰州,All,30,0,0,4
中国,江苏,扬州,All,18,0,0,2
