province,city,district,county,street,community,show_address,cnt_inc_uncertain,cnt_inc_certain,cnt_inc_die,cnt_inc_recure,cnt_sum_uncertain,cnt_sum_certain,cnt_sum_die,cnt_sum_recure,full_address,article_source,lng,lat,source,distance,date_saved
云南省,玉溪市,红塔区,,北城街道,大石板社区秧草塘村,大石板社区秧草塘村,-1,-1,-1,-1,-1,2,-1,-1,云南省玉溪市红塔区北城街道大石板社区秧草塘村,"[{'title': '玉溪新增4例确诊病例 详细路线公布！', 'url': 'https://mp.weixin.qq.com/s/THaIpahx_5VTWP2jcMMRMw'}, {'title': '玉溪市新增确诊病例1例！红塔大道50号华瑞小区实施隔离封闭管理', 'url': 'https://mp.weixin.qq.com/s/AjB4YCWmfSiJHzBJNhzHpg'}]",102.51207,24.46442,"[{'name': '玉溪发布', 'url': ''}]",-1,02-13
云南省,玉溪市,红塔区,,红塔大道50号,华瑞小区,华瑞小区,-1,-1,-1,-1,-1,4,-1,-1,云南省玉溪市红塔区红塔大道50号华瑞小区,"[{'title': '玉溪市新增确诊病例1例！红塔大道50号华瑞小区实施隔离封闭管理', 'url': 'https://mp.weixin.qq.com/s/AjB4YCWmfSiJHzBJNhzHpg'}, {'title': '玉溪新增4例确诊病例 详细路线公布！', 'url': 'https://mp.weixin.qq.com/s/THaIpahx_5VTWP2jcMMRMw'}]",102.5463,24.34077,"[{'name': '玉溪发布', 'url': ''}]",-1,02-13
云南省,玉溪市,红塔区,,,玉景苑小区,玉景苑小区,-1,-1,-1,-1,-1,1,-1,-1,云南省玉溪市红塔区玉景苑小区,"[{'title': '【通告】玉溪市新增1例，家住玉景苑小区', 'url': 'https://mp.weixin.qq.com/s/5Ly88K9i_UAmQ4BbdfMUXA'}]",102.5448,24.336069,"[{'name': '玉溪发布', 'url': ''}]",-1,02-13
云南省,保山市,腾冲市,腾冲市,,,镇安镇,-1,-1,-1,-1,-1,1,-1,-1,云南省保山市腾冲市镇安镇,"[{'title': '新增确诊病例4例 1月30日12时至24时云南累计报告病例80例', 'url': 'https://mp.weixin.qq.com/s/sI06rmH67V3IpO-vT-kgIA'}]",98.49097,25.02053,[],-1,02-13
云南省,昆明市,官渡区,,小板桥街道,海伦国际小区,海伦国际小区,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市官渡区小板桥街道海伦国际小区,"[{'title': '新增确诊病例4例 1月30日12时至24时云南累计报告病例80例', 'url': 'https://mp.weixin.qq.com/s/sI06rmH67V3IpO-vT-kgIA'}]",102.745262,24.9666,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,官渡区,,矣六街道,星体花园北区13栋1单元,星体花园北区13栋1单元,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市官渡区矣六街道星体花园北区13栋1单元,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",102.76237,24.94033,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,官渡区,,,昆船花园小区13栋2单元,昆船花园小区13栋2单元,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市官渡区昆船花园小区13栋2单元,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",102.796402,24.98933,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,官渡区,,太和街道,都市坐标小区B栋7单元,都市坐标小区B栋7单元,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市官渡区太和街道都市坐标小区B栋7单元,"[{'title': '关于对都市坐标小区B栋7单元实施隔离封闭管理的公告', 'url': 'https://m.weibo.cn/3840904562/4470156120097535'}]",102.729591,25.018049,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,盘龙区,,,,金殿武家村,-1,-1,-1,-1,-1,1,-1,-1,云南省昆明市盘龙区金殿武家村,"[{'title': '新增确诊病例4例 1月30日12时至24时云南累计报告病例80例', 'url': 'https://mp.weixin.qq.com/s/sI06rmH67V3IpO-vT-kgIA'}]",102.75205,25.11624,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
云南省,昆明市,盘龙区,,联盟街道,云锡花园2区西区1栋2单元,云锡花园2区西区1栋2单元,-1,-1,-1,-1,-1,-1,-1,-1,云南省昆明市盘龙区联盟街道云锡花园2区西区1栋2单元,"[{'title': '病例增速放缓！截至2月7日10时 昆明累计确诊40例 9个小区疫点采取隔离管理措施', 'url': 'https://mp.weixin.qq.com/s/VV4sxV_uByYsWVzbjjLzdQ'}]",102.736549,25.071529,"[{'name': '掌上春城', 'url': ''}, {'name': '昆明发布', 'url': ''}]",-1,02-13
