date,hubei,country,notHubei
01.20,72,77,5
01.21,105,149,44
01.22,69,131,62
01.23,105,259,154
01.24,180,444,264
01.25,323,688,365
01.26,371,769,398
01.27,1291,1771,480
01.28,840,1459,619
01.29,1032,1737,705
01.30,1220,1982,762
01.31,1347,2102,755
02.01,1921,2590,669
02.02,2103,2829,726
02.03,2345,3235,890
02.04,3156,3893,737
02.05,2987,3697,710
02.06,2447,3143,696
02.07,2841,3401,560
02.08,2147,2656,509
02.09,2618,3062,444
02.10,2097,2484,387
02.11,1638,2022,384
02.12,14840,15153,313
02.13,4823,5093,270
02.14,2420,2644,224
02.15,1843,2009,166
02.16,1933,2051,118
02.17,1807,1891,84
02.18,1693,1751,58
02.19,775,820,45
02.20,631,892,261
02.21,366,399,33
02.22,630,649,19
02.23,398,416,18
02.24,499,517,18
02.25,401,411,10
