date,hubei,notHubei,country
01.20,"{'dead': 6, 'heal': 25, 'nowConfirm': 239, 'deadRate': '2.22', 'healRate': '9.26'}","{'dead': 0, 'heal': 0, 'nowConfirm': 52, 'deadRate': '0.00', 'healRate': '0.00'}","{'dead': 6, 'heal': 25, 'nowConfirm': 291, 'deadRate': '2.06', 'healRate': '8.59'}"
01.23,"{'dead': 24, 'heal': 31, 'nowConfirm': 494, 'deadRate': '4.37', 'healRate': '5.65'}","{'dead': 1, 'heal': 3, 'nowConfirm': 282, 'deadRate': '0.35', 'healRate': '1.05'}","{'dead': 25, 'heal': 34, 'nowConfirm': 776, 'deadRate': '2.99', 'healRate': '4.07'}"
01.24,"{'dead': 39, 'heal': 32, 'nowConfirm': 658, 'deadRate': '5.35', 'healRate': '4.39'}","{'dead': 2, 'heal': 6, 'nowConfirm': 560, 'deadRate': '0.35', 'healRate': '1.06'}","{'dead': 41, 'heal': 38, 'nowConfirm': 1218, 'deadRate': '3.16', 'healRate': '2.93'}"
01.25,"{'dead': 52, 'heal': 42, 'nowConfirm': 958, 'deadRate': '4.94', 'healRate': '3.99'}","{'dead': 4, 'heal': 7, 'nowConfirm': 922, 'deadRate': '0.43', 'healRate': '0.75'}","{'dead': 56, 'heal': 49, 'nowConfirm': 1880, 'deadRate': '2.82', 'healRate': '2.47'}"
01.26,"{'dead': 76, 'heal': 44, 'nowConfirm': 1303, 'deadRate': '5.34', 'healRate': '3.09'}","{'dead': 4, 'heal': 7, 'nowConfirm': 1327, 'deadRate': '0.30', 'healRate': '0.52'}","{'dead': 80, 'heal': 51, 'nowConfirm': 2630, 'deadRate': '2.90', 'healRate': '1.85'}"
01.27,"{'dead': 100, 'heal': 47, 'nowConfirm': 2567, 'deadRate': '3.68', 'healRate': '1.73'}","{'dead': 6, 'heal': 13, 'nowConfirm': 1802, 'deadRate': '0.33', 'healRate': '0.71'}","{'dead': 106, 'heal': 60, 'nowConfirm': 4369, 'deadRate': '2.34', 'healRate': '1.32'}"
01.28,"{'dead': 125, 'heal': 80, 'nowConfirm': 3349, 'deadRate': '3.52', 'healRate': '2.25'}","{'dead': 7, 'heal': 23, 'nowConfirm': 2413, 'deadRate': '0.29', 'healRate': '0.94'}","{'dead': 132, 'heal': 103, 'nowConfirm': 5762, 'deadRate': '2.20', 'healRate': '1.72'}"
01.29,"{'dead': 162, 'heal': 90, 'nowConfirm': 4334, 'deadRate': '3.53', 'healRate': '1.96'}","{'dead': 8, 'heal': 34, 'nowConfirm': 3108, 'deadRate': '0.25', 'healRate': '1.08'}","{'dead': 170, 'heal': 124, 'nowConfirm': 7442, 'deadRate': '2.20', 'healRate': '1.60'}"
01.30,"{'dead': 204, 'heal': 116, 'nowConfirm': 5486, 'deadRate': '3.51', 'healRate': '2.00'}","{'dead': 9, 'heal': 55, 'nowConfirm': 3850, 'deadRate': '0.23', 'healRate': '1.41'}","{'dead': 213, 'heal': 171, 'nowConfirm': 9336, 'deadRate': '2.19', 'healRate': '1.76'}"
01.31,"{'dead': 249, 'heal': 166, 'nowConfirm': 6738, 'deadRate': '3.48', 'healRate': '2.32'}","{'dead': 10, 'heal': 77, 'nowConfirm': 4581, 'deadRate': '0.21', 'healRate': '1.65'}","{'dead': 259, 'heal': 243, 'nowConfirm': 11319, 'deadRate': '2.19', 'healRate': '2.06'}"
