confirm,suspect,dead,heal,importedCase,deadRate,healRate,date
77,27,0,0,0,0.0,0.0,01.20
149,53,3,0,0,2.0,0.0,01.21
131,257,8,0,0,6.1,0.0,01.22
259,680,8,6,0,3.1,2.3,01.23
444,1118,16,3,0,3.6,0.7,01.24
688,1309,15,11,0,2.2,1.6,01.25
769,3806,24,2,0,3.1,0.3,01.26
1771,2077,26,9,0,1.5,0.5,01.27
1459,3248,26,43,0,1.8,2.9,01.28
1737,4148,38,21,0,2.2,1.2,01.29
1982,4812,43,47,0,2.2,2.4,01.30
2102,5019,46,72,0,2.2,3.4,01.31
2590,4562,45,85,0,1.7,3.3,02.01
2829,5173,57,147,0,2.0,5.2,02.02
3235,5072,64,157,0,2.0,4.9,02.03
3893,3971,65,262,0,1.7,6.7,02.04
3697,5328,73,261,0,2.0,7.1,02.05
3143,4833,73,387,0,2.3,12.3,02.06
3401,4214,86,510,0,2.5,15.0,02.07
2656,3916,89,600,0,3.4,22.6,02.08
3062,4008,97,632,0,3.2,20.6,02.09
2484,3536,108,716,0,4.3,28.8,02.10
2022,3342,97,744,0,4.8,36.8,02.11
15153,2807,254,1173,0,1.7,7.7,02.12
5093,2450,121,1083,0,2.4,21.3,02.13
2644,2277,143,1373,0,5.4,51.9,02.14
2009,1918,142,1324,0,7.1,65.9,02.15
2051,1563,105,1425,0,5.1,69.5,02.16
1891,1432,98,1701,0,5.2,90.0,02.17
1751,1185,136,1826,0,7.8,104.3,02.18
820,1277,115,1781,0,14.0,217.2,02.19
892,1614,118,2109,0,13.2,236.4,02.20
399,1361,109,2394,0,27.3,600.0,02.21
649,882,97,2235,0,14.9,344.4,02.22
416,620,150,1850,0,36.1,444.7,02.23
517,530,71,2596,0,13.7,502.1,02.24
411,439,52,2422,0,12.7,589.3,02.25
440,508,29,2756,0,6.6,626.4,02.26
329,452,44,3626,0,13.4,1102.1,02.27
430,248,47,2892,0,10.9,672.6,02.28
579,132,35,2626,0,6.0,453.5,02.29
206,141,42,2843,0,20.4,1380.1,03.01
128,129,31,2742,0,24.2,2142.2,03.02
120,143,38,2654,0,31.7,2211.7,03.03
143,143,31,2195,2,21.7,1535.0,03.04
145,102,30,1684,16,20.7,1161.4,03.05
103,99,28,1684,24,27.2,1635.0,03.06
