confirm,suspect,dead,heal,nowConfirm,nowSevere,deadRate,healRate,date
41,0,1,0,0,0,2.4,0.0,01.13
41,0,1,0,0,0,2.4,0.0,01.14
41,0,2,5,0,0,4.9,12.2,01.15
45,0,2,8,0,0,4.4,17.8,01.16
62,0,2,12,0,0,3.2,19.4,01.17
198,0,3,17,0,0,1.5,8.6,01.18
275,0,4,18,0,0,1.5,6.5,01.19
291,54,6,25,291,0,2.1,8.6,01.20
440,37,9,25,431,0,2.0,5.7,01.21
574,393,17,25,557,0,3.0,4.4,01.22
835,1072,25,34,776,0,3.0,4.1,01.23
1297,1965,41,38,1218,0,3.2,2.9,01.24
1985,2684,56,49,1880,324,2.8,2.5,01.25
2761,5794,80,51,2630,461,2.9,1.8,01.26
4535,6973,106,60,4369,976,2.3,1.3,01.27
5997,9239,132,103,5762,1239,2.2,1.7,01.28
7736,12167,170,124,7442,1370,2.2,1.6,01.29
9720,15238,213,171,9336,1527,2.2,1.8,01.30
11821,17988,259,243,11319,1795,2.2,2.1,01.31
14411,19544,304,328,13779,2110,2.1,2.3,02.01
17238,21558,361,475,16402,2296,2.1,2.8,02.02
20471,23214,425,632,19414,2788,2.1,3.1,02.03
24363,23260,491,892,22980,3219,2.0,3.7,02.04
28060,24702,564,1153,26343,3859,2.0,4.1,02.05
31211,26359,637,1542,29032,4821,2.0,4.9,02.06
34598,27657,723,2052,31823,6101,2.1,5.9,02.07
37251,28942,812,2651,33788,6188,2.2,7.1,02.08
40235,23589,909,3283,36043,6484,2.3,8.2,02.09
42708,21675,1017,3998,37693,7333,2.4,9.4,02.10
44730,16067,1114,4742,38874,8204,2.5,10.6,02.11
59882,13435,1368,5915,52599,8030,2.3,9.9,02.12
63932,10109,1381,6728,55823,10204,2.2,10.5,02.13
66576,8969,1524,8101,56951,11053,2.3,12.2,02.14
68584,8228,1666,9425,57493,11272,2.4,13.7,02.15
70635,7264,1772,10853,58010,10644,2.5,15.4,02.16
72528,6242,1870,12561,58097,11741,2.6,17.3,02.17
74279,5248,2006,14387,57886,11977,2.7,19.4,02.18
75002,4922,2121,16157,56386,11864,2.8,21.5,02.19
75993,5206,2239,18266,55051,11633,2.9,24.0,02.20
76392,5365,2348,20673,53371,11477,3.1,27.1,02.21
77041,4148,2445,22907,51689,10968,3.2,29.7,02.22
77262,3434,2595,24757,49910,9915,3.4,32.0,02.23
