date,confirm,suspect,dead,heal
01.13,41,0,1,0
01.14,41,0,1,0
01.15,41,0,2,5
01.16,45,0,2,8
01.17,62,0,2,12
01.18,198,0,3,17
01.19,275,0,4,18
01.20,291,54,6,25
01.21,440,37,9,25
01.22,571,393,17,25
01.23,830,1072,25,34
01.24,1287,1965,41,38
01.25,1975,2684,56,49
01.26,2744, 5794,80,51
01.27,4515,6973,106,60
01.28,5974,9239,132,103
01.29,7711,12167,170,124
01.30,9692,15238,213,171
01.31,11791,17988,259,243
02.01,14380,19544,304,328
02.02,17236,21558,361,475
02.03,20471,23214,425,632
02.04,24363,23260,491,892
