confirm,suspect,dead,heal,date
41,0,1,0,01.13
41,0,1,0,01.14
41,0,2,5,01.15
45,0,2,8,01.16
62,0,2,12,01.17
198,0,3,17,01.18
275,0,4,18,01.19
291,54,6,25,01.20
440,37,9,25,01.21
571,393,17,25,01.22
830,1072,25,34,01.23
1287,1965,41,38,01.24
1975,2684,56,49,01.25
2744,5794,80,51,01.26
4515,6973,106,60,01.27
5974,9239,132,103,01.28
7711,12167,170,124,01.29
9692,15238,213,171,01.30
11791,17988,259,243,01.31
14380,19544,304,328,02.01
17236,21558,361,475,02.02
20471,23214,425,632,02.03
24363,23260,491,892,02.04
28060,24702,564,1153,02.05
