confirm,suspect,dead,heal,deadRate,healRate,date,confirm_cuts,suspect_cuts,dead_cuts,heal_cuts
41,0,1,0,2.4,0.0,01.13,0,0,0,0
41,0,1,0,2.4,0.0,01.14,0,0,0,0
41,0,2,5,4.9,12.2,01.15,0,0,0,0
45,0,2,8,4.4,17.8,01.16,0,0,0,0
62,0,2,12,3.2,19.4,01.17,0,0,0,0
198,0,3,17,1.5,8.6,01.18,0,0,0,0
275,0,4,18,1.5,6.5,01.19,0,0,0,0
291,54,6,25,2.1,8.6,01.20,0,0,0,0
440,37,9,25,2.0,5.7,01.21,0,0,0,0
571,393,17,25,3.0,4.4,01.22,0,0,0,0
830,1072,25,34,3.0,4.1,01.23,0,0,0,0
1287,1965,41,38,3.2,3.0,01.24,0,0,0,0
1975,2684,56,49,2.8,2.5,01.25,0,0,0,0
2744,5794,80,51,2.9,1.9,01.26,0,0,0,0
4515,6973,106,60,2.3,1.3,01.27,0,0,0,0
5974,9239,132,103,2.2,1.7,01.28,0,0,0,0
7711,12167,170,124,2.2,1.6,01.29,0,0,0,0
9692,15238,213,171,2.2,1.8,01.30,0,0,0,0
11791,17988,259,243,2.2,2.1,01.31,0,0,0,0
14380,19544,304,328,2.1,2.3,02.01,0,0,0,0
17236,21558,361,475,2.1,2.8,02.02,0,0,0,0
20471,23214,425,632,2.1,3.1,02.03,0,0,0,0
24363,23260,491,892,2.0,3.7,02.04,0,0,0,0
28060,24702,564,1153,2.0,4.1,02.05,0,0,0,0
31211,26359,637,1542,2.0,4.9,02.06,0,0,0,0
34598,27657,723,2052,2.1,5.9,02.07,0,0,0,0
37251,28942,812,2651,2.2,7.1,02.08,0,0,0,0
40235,23589,909,3283,2.3,8.2,02.09,0,0,0,0
42708,21675,1017,3998,2.4,9.4,02.10,0,0,0,0
44730,16067,1114,4742,2.5,10.6,02.11,0,0,0,0
59882,13435,1368,5915,2.3,9.9,02.12,1043,0,108,269
63932,10109,1381,6728,2.2,10.5,02.13,0,0,0,0
