,trafficType,trafficNum,startEndStation,trainPath,trafficTime,detail,evidenceDocUrl,updateTime
0,航班,AQ1275,"[""广州"",""兰州""]","[""广州"",""兰州""]",2020-02-16,,https://m.weibo.cn/status/4475442931185101?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0,2020-02-25 22:51
1,航班,AQ1276,"["""",""江西""]","["""",""江西""]",2020-02-16,,https://m.weibo.cn/status/4475442931185101?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0,2020-02-25 22:51
2,火车,K9664,"[""中川机场"",""景泰""]","[""兰州"",""皋兰"",""白银西"",""景泰"",""干塘"",""中卫"",""同心"",""固原"",""平凉"",""泾川"",""长庆桥""]",2020-02-16,,https://m.weibo.cn/status/4475461202005549?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0,2020-02-25 22:51
3,公交,西安11路,"[""五路口站"",""北新街站""]","[""五路口站"",""北新街站""]",2020-02-15,,https://m.weibo.cn/1644855075/4472883231391831,2020-02-25 22:51
4,火车,K9049,"[""肇庆"",""春湾""]","[""广州"",""佛山"",""肇庆"",""阳春"",""茂名"",""高州"",""信宜""]",2020-02-13,,https://m.weibo.cn/status/4474703236514192?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0,2020-02-25 22:51
5,汽车,川QFL959,"[""南岸一医院E区"",""第二医院南岸B区""]","[""南岸一医院E区"",""第二医院南岸B区""]",2020-02-10,9:40,https://baijiahao.baidu.com/s?id=1658337424410253333&wfr=spider&for=pc,2020-02-25 22:51
6,汽车,云GAR829,"["""",""云南""]","["""",""云南""]",2020-02-10,,https://news.dahe.cn/2020/02-18/599067.html,2020-02-25 22:51
7,航班,MU2416,"[""北京"",""兰州""]","[""北京"",""兰州""]",2020-02-10,6A、6C,https://m.weibo.cn/1791298665/4473138936764424,2020-02-25 22:51
8,航班,SC4909,"[""青岛"",""南昌""]","[""青岛"",""南昌""]",2020-02-09,,https://baijiahao.baidu.com/s?id=1658399645101527513&wfr=spider&for=pc,2020-02-25 22:51
9,公交,济南BRT12路,"[""全运运动员村"",""省医院东区""]","[""全运运动员村"",""省医院东区""]",2020-02-09,,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw,2020-02-25 22:51
10,公交,济南K139路,"[""锦屏家园"",""全运运动员村""]","[""锦屏家园"",""全运运动员村""]",2020-02-09,,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw,2020-02-25 22:51
11,汽车,豫AT3682,"[""京广中路"",""郑大一院""]","[""京广中路"",""郑大一院""]",2020-02-09,,http://news.hnr.cn/202002/12/91643.html,2020-02-25 22:51
12,航班,G52759,"[""重庆"",""沈阳""]","[""重庆"",""沈阳""]",2020-02-08,,https://m.weibo.cn/status/4471810936458667?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0,2020-02-25 22:51
13,火车,G420,"[""宁波"",""北京南""]","[""宁波"",""余姚北"",""杭州东"",""德清"",""湖州"",""宜兴"",""溧阳"",""溧水"",""江宁"",""南京南"",""蚌埠南"",""宿州东"",""徐州东"",""枣庄"",""泰安"",""济南西"",""德州东"",""沧州西"",""廊坊"",""北京南""]",2020-02-08,,http://www.xzcdc.com/index.php/news/15436.html,2020-02-25 22:51
14,火车,G1569,"[""北京南"",""徐州东""]","[""北京南"",""天津南"",""济南西"",""枣庄"",""徐州东"",""睢宁"",""宿迁"",""泗阳"",""淮安东"",""阜宁南"",""建湖"",""盐城""]",2020-02-08,11-16号车厢,http://www.xzcdc.com/index.php/news/15436.html,2020-02-25 22:51
15,公交,上饶7路,"[""上饶火车站"",""荷叶街""]","[""上饶火车站"",""荷叶街""]",2020-02-08,12:00,https://new.qq.com/omn/20200211/20200211A05ST800.html,2020-02-25 22:51
16,火车,G7701,"[""阜阳"",""合肥""]","[""亳州南"",""古城东"",""阜阳西"",""颍上北"",""凤台南"",""淮南南"",""合肥南""]",2020-02-07,2号车厢,https://mp.weixin.qq.com/s/_DWkRVmiNyne5Ui1k-l7TA,2020-02-25 22:51
17,火车,G419,"[""杭州东"",""宁波""]","[""北京南"",""廊坊"",""德州东"",""济南西"",""枣庄"",""徐州东"",""宿州东"",""蚌埠南"",""南京南"",""溧水"",""宜兴"",""湖州"",""杭州东"",""绍兴北"",""宁波""]",2020-02-07,5-8号车厢,http://www.xzcdc.com/index.php/news/15436.html,2020-02-25 22:51
18,火车,K496,"[""贵溪"",""上饶""]","[""贵溪"",""上饶""]",2020-02-07,13号车厢,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw,2020-02-25 22:51
19,火车,Z288,"[""上饶"",""宁波""]","[""昆明"",""曲靖"",""宣威"",""六盘水"",""贵阳"",""怀化"",""株洲"",""鹰潭"",""上饶"",""金华"",""义乌"",""绍兴"",""余姚"",""宁波""]",2020-02-07,16号车厢,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw,2020-02-25 22:51
20,火车,D3305,"[""宁波"",""温岭""]","[""宁波"",""台州"",""温岭"",""乐清"",""温州南"",""平阳"",""福安"",""宁德"",""连江"",""福州南"",""莆田"",""仙游"",""泉州"",""厦门北""]",2020-02-07,6号车厢,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw,2020-02-25 22:51
21,火车,D3108,"[""温岭"",""杭州东""]","[""深圳北"",""惠州南"",""普宁"",""潮汕"",""饶平"",""诏安"",""云霄"",""漳州"",""厦门北"",""泉州"",""莆田"",""涵江"",""福州南"",""罗源"",""宁德"",""太姥山"",""福鼎"",""瑞安"",""温州南"",""温岭"",""奉化"",""宁波"",""余姚北"",""绍兴东"",""绍兴北"",""杭州东"",""嘉兴南"",""上海虹桥""]",2020-02-07,5号车厢,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw,2020-02-25 22:51
22,火车,K287,"[""杭州东"",""上饶""]","[""上海南"",""松江"",""嘉善"",""嘉兴"",""海宁"",""杭州东"",""金华"",""上饶"",""鹰潭"",""东乡"",""南昌""]",2020-02-07,1号车厢,https://mp.weixin.qq.com/s/arSpzLD1RoWv7tYFwJxhqw,2020-02-25 22:51
23,公交,T1082,"[""大窑沟"",""山科大""]","[""大窑沟"",""山科大""]",2020-02-07,13:28,https://mp.weixin.qq.com/s/2RdW-qTErEmvSCR5-wlsaw,2020-02-25 22:51
24,火车,T109,"[""北京"",""南京""]","[""北京"",""天津西"",""沧州"",""德州"",""徐州"",""南京"",""常州"",""无锡"",""苏州"",""上海""]",2020-02-07,13号车厢,https://m.weibo.cn/status/4473691578797451?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0,2020-02-25 22:51
25,公交,哈尔滨376路,"[""贝肯山三期"",""延兴路""]","[""贝肯山三期"",""延兴路""]",2020-02-07,,https://m.weibo.cn/3950759014/4474124083095986,2020-02-25 22:51
