,date,start,end,type,no,no_sub,memo,pos_start,pos_end,source,who
0,2020-02-17,,,4,云GV5592,,,商丘,云南,https://news.dahe.cn/2020/02-18/599067.html,大河报·大河客户端
1,2020-02-16,,,1,AQ1275,,九元AQ1275 1人确诊,广州-南昌,兰州,https://www.thepaper.cn/newsDetail_forward_6108394,甘肃发布
2,2020-02-16,,,1,AQ1276,,,,江西,https://m.weibo.cn/status/4475442931185101?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0,甘肃发布
3,2020-02-16,,,2,K9664,,,兰州,长庆桥,https://m.weibo.cn/status/4475461202005549?openApp=1&lfid=sougousousuo_9999_01&wm=90091_90002&download=0,中国甘肃网
4,2020-02-15,,,5,西安公交11路,,,五路口站,北新街站,https://m.weibo.cn/1644855075/4472883231391831,新城区疫情防控指挥部办公室
5,2020-02-15,,,6,赣A79X51,南昌,1人确诊,朝农街道抚生路888号,南昌,http://jx.sina.com.cn/news/b/2020-02-18/detail-iimxxstf2302424.shtml,江西省政务信息公开
6,2020-02-14,,,2,K9049,,1人确诊,肇庆,阳江,https://view.inews.qq.com/a/20200222A05YCP00?uid=news_news_antip&app=newslite,南方plus
7,2020-02-14,,,4,医大四院通勤车,,1人确诊,锋华城,医大四院,https://baijiahao.baidu.com/s?id=1659058389582192647&wfr=spider&for=pc,生活报
8,2020-02-13,,,2,K9049,,1人确诊,肇庆,阳江,https://view.inews.qq.com/a/20200222A05YCP00?uid=news_news_antip&app=newslite,南方plus
9,2020-02-12,,,6,湘A70Y26,长沙,不详,中江国际花城,长沙市中心医院,https://society.huanqiu.com/article/9CaKrnKppfz,环球网
10,2020-02-11,,,3,哈尔滨1号线,,1人确诊,和兴路站,军工站,http://www.hlj.xinhuanet.com/bcrd/2020-02/17/c_138792141.htm,哈尔滨市应对疫情指挥部
11,2020-02-11,,,6,集安,,1人确诊,集双高速集安站出口,清河,https://view.inews.qq.com/a/20200220A07OFV00?uid=news_news_antip&app=newslite,吉林日报
12,2020-02-10,,,1,MU2416,,东航MU2416 1人确诊,北京,兰州,https://baijiahao.baidu.com/s?id=1658804497409094815&wfr=spider&for=pc,兰州晚报
13,2020-02-10,,,1,MU2417,,座位：6A、6C,北京,兰州,https://m.weibo.cn/1791298665/4473138936764424,兰州日报
